generation,avrg_score,best_eval,c_out_of_bound
0,306402.4485457169,228.12256533544965,0
1,13618.68743316108,-22333.1272006932,7
2,7.128364770414772,-22333.1272006932,0
3,-12.063337543717257,-22333.1272006932,0
4,-19.545721456613666,-22333.1272006932,0
5,-13.747824214785345,-22333.1272006932,0
6,-5.000574564374412,-22333.1272006932,0
7,9.429902540360883,-22333.1272006932,0
8,-2.939686815900136,-22333.1272006932,0
9,-0.8400740678227094,-22333.1272006932,0
10,-5.4691248453400645,-22333.1272006932,0
11,-26.95163757026931,-22333.1272006932,0
12,10.914949826741788,-22333.1272006932,0
13,44.2833403079949,-22333.1272006932,0
14,-26.524607957417725,-22333.1272006932,0
15,-20.20630230545997,-22333.1272006932,0
16,-13.432950249496997,-22333.1272006932,0
17,-6.879822994740882,-22333.1272006932,0
18,-27.02818397115639,-22333.1272006932,0
19,-5.235871296874413,-22333.1272006932,0
